localidad,provincia,idproducto,producto,precio,fecha_vigencia,idempresabandera,empresabandera,latitud,longitud
las heras,mendoza,6,gnc,11,2017-03-28 10:38:00,1,blanca,-32.841917,-68.827446
neuquen,neuquen,6,gnc,9,2017-03-28 12:44:00,2,ypf,-38.95743,-68.15193
neuquen,neuquen,6,gnc,9,2017-03-28 12:44:00,2,ypf,-38.95743,-68.15193
neuquen,neuquen,6,gnc,9,2017-03-28 12:58:00,2,ypf,-38.95489,-68.12344
neuquen,neuquen,6,gnc,9,2017-03-28 13:13:00,2,ypf,-38.95489,-68.12344
carrodilla,mendoza,6,gnc,11,2017-03-29 12:40:00,2,ypf,-32.96457,-68.83936
carrodilla,mendoza,6,gnc,11,2017-03-29 12:40:00,2,ypf,-32.96457,-68.83936
carmen de areco,buenos aires,6,gnc,9,2017-03-30 16:50:00,1,blanca,-34.403207,-59.836778
carmen de areco,buenos aires,6,gnc,9,2017-03-30 16:50:00,1,blanca,-34.403207,-59.836778
gral pacheco,buenos aires,6,gnc,9,2017-03-30 21:14:00,2,ypf,-34.45333333,-58.6421
gral pacheco,buenos aires,6,gnc,9,2017-03-30 21:14:00,2,ypf,-34.45333333,-58.6421
san martin,buenos aires,6,gnc,9,2017-03-30 21:18:00,1,blanca,-34.579246,-58.528106
san martin,buenos aires,6,gnc,9,2017-03-30 21:18:00,1,blanca,-34.579246,-58.528106
san pedro,jujuy,6,gnc,11,2017-03-31 23:29:00,1,blanca,-24.240703,-64.875693
san pedro,jujuy,6,gnc,11,2017-03-31 23:29:00,1,blanca,-24.240703,-64.875693
san salvador de jujuy,jujuy,6,gnc,11,2017-03-31 23:31:00,1,blanca,-24.226956,-65.274598
san salvador de jujuy,jujuy,6,gnc,11,2017-03-31 23:31:00,1,blanca,-24.226956,-65.274598
el carmen,jujuy,6,gnc,12,2017-03-31 23:33:00,1,blanca,-24.39204,-65.254305
el carmen,jujuy,6,gnc,12,2017-03-31 23:33:00,1,blanca,-24.39204,-65.254305
perico,jujuy,6,gnc,11,2017-03-31 23:35:00,1,blanca,-24.388692,-65.256721
perico,jujuy,6,gnc,11,2017-03-31 23:35:00,1,blanca,-24.388692,-65.256721
gonzalez catan,buenos aires,6,gnc,11,2017-04-01 00:02:00,1,blanca,-34.770304,-58.61908
gonzalez catan,buenos aires,6,gnc,11,2017-04-01 00:02:00,1,blanca,-34.770304,-58.61908
san martin,buenos aires,6,gnc,10,2017-04-01 12:39:00,2,ypf,-34.59358,-58.53643
san martin,buenos aires,6,gnc,10,2017-04-01 12:39:00,2,ypf,-34.59358,-58.53643
pergamino,buenos aires,6,gnc,12,2017-04-04 14:00:00,2,ypf,-33.91375,-60.575412
pergamino,buenos aires,6,gnc,12,2017-04-04 14:00:00,2,ypf,-33.91375,-60.575412
baradero,buenos aires,6,gnc,11,2017-04-05 09:59:00,26,axion,-33.818,-59.51225
baradero,buenos aires,6,gnc,11,2017-04-05 09:59:00,26,axion,-33.818,-59.51225
san andres de giles,buenos aires,6,gnc,11,2017-04-05 14:00:00,2,ypf,-34.45216,-59.45074
san andres de giles,buenos aires,6,gnc,11,2017-04-05 14:00:00,2,ypf,-34.45216,-59.45074
colon,buenos aires,6,gnc,12,2017-04-05 17:56:00,2,ypf,-33.90105,-61.10983
colon,buenos aires,6,gnc,12,2017-04-05 17:56:00,2,ypf,-33.90105,-61.10983
plottier,neuquen,6,gnc,9,2017-04-06 10:59:00,1,blanca,-38.956548,-68.238144
plottier,neuquen,6,gnc,9,2017-04-06 10:59:00,1,blanca,-38.956548,-68.238144
rio cuarto,cordoba,6,gnc,12,2017-04-06 12:21:00,2,ypf,-33.1521,-64.35953
rio cuarto,cordoba,6,gnc,12,2017-04-06 12:21:00,2,ypf,-33.1521,-64.35953
rio cuarto,cordoba,6,gnc,13,2017-04-06 12:27:00,2,ypf,-33.10523,-64.33678
rio cuarto,cordoba,6,gnc,13,2017-04-06 12:27:00,2,ypf,-33.10523,-64.33678
rio cuarto,cordoba,6,gnc,13,2017-04-06 12:28:00,2,ypf,-33.11445,-64.33123
rio cuarto,cordoba,6,gnc,13,2017-04-06 12:28:00,2,ypf,-33.11445,-64.33123
